"UID","parkName","panoramaID","panoramaDate","year","direction"
"-vqNhaWRvuumvX3HxuAyNw","Granville-Park","doTSfD-BdenUiLxlel8A_Q","May 2017","2017",182
"-w50s_wYIO6CGU2w5DlYpw","Hillcrest-Park","74xTiniRcGDXymdvDvy6iA","May 2017","2017",323
"-wNNwpl-DUzgwRCsLVt5tg","Strathcona-Park","ycKwiMmkviTywmed-L4KXg","May 2017","2017",278
"-wgkfHFkihGxAC1fyejPAw","Kaslo-Park","F8T1_8Srb61-zF4oWMoy_Q","Jun 2017","2017",189
"-x3v22HtbED5yPsfsnbwVQ","Granville-Park","mo4tP57OhW7XI8Hi04Se9g","May 2017","2017",92
"-yP0Vzk-MDo3NYTLdVQTMg","Adanac-Park","B8yZwa-53I3lJloWxRGNDA","Aug 2017","2017",270
"-z8ldO_WEs-vMmKY2v8Bhw","Grimmett-Park","fK-Mc-qLh-WHwAfd6VYsuA","May 2017","2017",360
"-z8ldO_WEs-vMmKY2v8Bhw","Mount-Pleasant-Park","fK-Mc-qLh-WHwAfd6VYsuA","May 2017","2017",360
"-zwJPvmGXHVXWCmng8l10g","Earles-Park","ofLm_NcUtJuqXmu8BL321A","May 2017","2017",71
"0-Fwu_yMeXruVmDWauv68A","Emery-Barnes-Park","0yG93-7E2lmFV2nsFaha0g","Jun 2017","2017",250
"0-Fwu_yMeXruVmDWauv68A","Emery-Barnes-Park","nIJgJGqX_I8_dqZYnQj0Vg","May 2017","2017",250
"0-ryaJbjRg24K-ZL_xLUkQ","Emery-Barnes-Park","JwGu1TYacmWYjYEsnPLHTg","Jun 2017","2017",186
"0-zRQ1KPg_rFOsCjaiIRbg","Memorial-South-Park","0W-EArKqHGg-08KCHHcMnw","May 2017","2017",5
"005xk02ZVJKgXlIQ8qR5pg","David-Lam-Park","k2mEBOl9R8ACIAh65Jlv6Q","May 2017","2017",288
"00HkPfO4_mCXcdbh17iVBg","Hillcrest-Park","BJ0M1hPU9wygn3znhX8b9A","May 2017","2017",340
"00YvbetmTsB6mhksKK_adQ","Adanac-Park","eXsJQxJ_h4c4zWMYP1aweQ","Aug 2017","2017",270
"00s8_hy-VuY2KuJGFPn4bA","Strathcona-Park","krZ93iKUvMuMZfpxL2qhdQ","Jun 2017","2017",206
"017K3SLXWCdPpZWcyJqsTg","Connaught-Park","tvs77W5nt3FuM6Hct4iRlA","Jun 2017","2017",1
"01TEil3WQsofsJlRqoAHLg","Nelson-Park","oVeE7IHFMZqeAyeZuv9LvA","Jun 2017","2017",97
"01n2aJlYdUajHJ5pmMKy7w","Morton-Park","38jen7yrYjJdVZpafBYMDw","Jun 2017","2017",350
"02P_3EYt5cppi8EeosRdvQ","McCleery-Park","pCVx51kpOMlTbMf9_C3t7Q","May 2017","2017",1
"02coBsA7pRDVEb1-DKdARA","Connaught-Park","dJTBYRNO_k65HI-wMkQXmg","May 2017","2017",273
"03M9OVy-__Hu3-LR3tfq_Q","Quilchena-Park","PHtNuaeervfpCPAliDWNmg","May 2017","2017",154
"03pzAVjTD5cxzPqzbvGm_g","Mount-Pleasant-Park","I9ci4TSkwSk-iBG-rR2h0A","May 2017","2017",271
"04Q7LGDzb2iQX0eHsNaw0Q","Hillcrest-Park","s80ABft6G1RlY7ciaTVMxw","May 2017","2017",92
"04SdIui-WWXQYABeUISlZQ","Quilchena-Park","P2UnsRiCQNAUbRUksYGr-Q","May 2017","2017",70
"04WaX2-vLkLkMXBRFlvplA","Adanac-Park","fUgB-PX57IseTVYvcNDD2g","Aug 2017","2017",360
"04kkCJ6v6lX3eHSRu5fjYg","Connaught-Park","g1LEbglf2MSiy2hCZIqjZA","May 2017","2017",299
"04tszoHzCCMXoK1IPqZvYg","Emery-Barnes-Park","m0NMmH9xOiw9mvCQhDjsnA","Jun 2017","2017",288
"053-heGkIk6BsvloTT7tiQ","Foster-Park","-x9ndl2sfyoKyitWUyxysg","Aug 2017","2017",9
"05EIfOIP7e3PglTwTMRSzQ","David-Lam-Park","WV0-L1CkX7dUH5mHMsCFQQ","Jun 2017","2017",243
